##Name	Total_Item	Num_item	Num_list	Num_list_item	Ori_p	Adj_p	Enrich_score	Gene_list
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	7829	34	200	4	0.01496945	1	4.60529411764706	ABCA6,ABCA8,ABCB1,ABCA9
BIOCARTA_AGR_PATHWAY	7829	36	200	4	0.01781098	1	4.34944444444444	LAMA3,DMD,JUN,PAK7
KEGG_ABC_TRANSPORTERS	7829	44	200	4	0.03237404	1	3.55863636363636	ABCA6,ABCA8,ABCB1,ABCA9
REACTOME_SMOOTH_MUSCLE_CONTRACTION	7829	25	200	3	0.03250180	1	4.6974	LMOD1,ACTG2,MYH11
REACTOME_MUSCLE_CONTRACTION	7829	48	200	4	0.04164128	1	3.26208333333333	DMD,LMOD1,ACTG2,MYH11
KEGG_FOCAL_ADHESION	7829	201	200	10	0.04325469	1	1.94751243781095	PDGFA,LAMB3,RELN,CAV1,JUN,TLN2,LAMA3,PAK7,CAV2,FIGF
REACTOME_CELL_JUNCTION_ORGANIZATION	7829	78	200	5	0.05850463	1	2.50929487179487	LAMA3,LAMB3,CLDN11,CLDN5,COL17A1
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	7829	15	200	2	0.06662994	1	5.21933333333333	CCNB2,CDK1
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	7829	15	200	2	0.06662994	1	5.21933333333333	SEMA5A,SEMA6D
REACTOME_FRS2_MEDIATED_CASCADE	7829	36	200	3	0.07407414	1	3.26208333333333	CDK1,FGF1,KL
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	7829	37	200	3	0.07863601	1	3.17391891891892	FGF1,KL,SPRY2
BIOCARTA_INTEGRIN_PATHWAY	7829	38	200	3	0.08331660	1	3.09039473684211	TNS1,CAV1,JUN
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	7829	18	200	2	0.08862546	1	4.34944444444444	ABCA6,ABCA9
BIOCARTA_CARDIACEGF_PATHWAY	7829	18	200	2	0.08862546	1	4.34944444444444	JUN,EDNRB
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	7829	19	200	2	0.09637188	1	4.12052631578947	RRM2,CDK1
REACTOME_CGMP_EFFECTS	7829	19	200	2	0.09637188	1	4.12052631578947	KCNMB1,PDE2A
REACTOME_CELL_CELL_COMMUNICATION	7829	120	200	6	0.09921510	1	1.95725	LAMA3,LAMB3,CLDN11,SPTBN1,CLDN5,COL17A1
REACTOME_SEMAPHORIN_INTERACTIONS	7829	68	200	4	0.10747546	1	2.30264705882353	SEMA6D,MYH11,DPYSL2,SEMA5A
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	7829	22	200	2	0.12064878	1	3.55863636363636	KL,FGF1
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	7829	23	200	2	0.12904198	1	3.40391304347826	CDK1,UBE2C
REACTOME_SIGNALING_BY_BMP	7829	23	200	2	0.12904198	1	3.40391304347826	CHRDL1,SKI
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	7829	23	200	2	0.12904198	1	3.40391304347826	SPTBN1,SCN2A
BIOCARTA_IL12_PATHWAY	7829	23	200	2	0.12904198	1	3.40391304347826	JUN,ETV5
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	7829	49	200	3	0.14172757	1	2.39663265306122	NR3C2,NR3C1,THRA
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	7829	25	200	2	0.14620468	1	3.1316	KCNJ16,GNG7
