GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_KINESINS	2.5e-08	7.1e-06	24	21	170	151	0		PRC1,NUSAP1,CKAP2,KIAA0101,DTL,ZWINT,UBE2C,ECT2,CCNB2,CDKN3,WHSC1,SMC4,UBE2T,ASF1B,ARHGAP19,TOP2A,DCTPP1,DPYSL2,MTHFD2,SPTBN1,RABIF,DMD,ADD3,GPM6B,NDN,PAK7,LPHN3,EHBP1,B3GNT1,THRA,NR3C1,SPRY2,CAV2,LARP6,EFHA2,CRTAC1,SEMA6D,SCN3A,C3orf64,PDE2A,HLF,CX3CL1,SKI,CSRNP3
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	3.2e-08	7.1e-06	19	12	170	151	2		CCNB2,DTL,PRC1,ASF1B,TOP2A,NUSAP1,KIAA0101,SMC4,CKAP2,UBE2C,ZWINT,WHSC1,UBE2T,CDKN3,ECT2,DCTPP1,ARHGAP19,MTHFD2,GLTSCR2,MME,METTL7A
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	4.3e-08	7.1e-06	10	2	170	151	1		CDKN3,ECT2,KIAA0101,ZWINT,NUSAP1,PRC1,ASF1B,DTL,ARHGAP19,UBE2T,TOP2A,CCNB2,WHSC1,UBE2C,SMC4,DCTPP1,CKAP2,MTHFD2
REACTOME_UNWINDING_OF_DNA	5.5e-08	7.1e-06	11	7	170	151	0		PRC1,ASF1B,DTL,TOP2A,CCNB2,CKAP2,CDKN3,KIAA0101,UBE2C,UBE2T,ARHGAP19,DCTPP1,NUSAP1,ZWINT,WHSC1,ECT2,SMC4,GLTSCR2,JUN,MTHFD2,ABCB1,EZH1,TLN2,FOXO1
BIOCARTA_MCM_PATHWAY	5.8e-08	7.1e-06	18	9	170	151	0		DTL,CCNB2,DCTPP1,UBE2T,KIAA0101,ASF1B,UBE2C,PRC1,CDKN3,TOP2A,WHSC1,CKAP2,ARHGAP19,ECT2,NUSAP1,ZWINT,SMC4,MTHFD2,GLTSCR2,JUN,ABCB1,EZH1,FOXO1,FOXN3
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	6.3e-08	7.1e-06	31	19	170	151	0		ASF1B,CCNB2,TOP2A,PRC1,DTL,KIAA0101,NUSAP1,WHSC1,UBE2T,CKAP2,SMC4,DCTPP1,ECT2,ARHGAP19,CDKN3,UBE2C,ZWINT,MTHFD2,GLTSCR2,JUN,ABCB1,EZH1,RABIF
BIOCARTA_G2_PATHWAY	6.6e-08	7.1e-06	24	21	170	151	1		TOP2A,SMC4,WHSC1,CCNB2,NUSAP1,CKAP2,DTL,PRC1,ASF1B,ECT2,UBE2C,ZWINT,KIAA0101,CDKN3,UBE2T,DCTPP1,ARHGAP19,MTHFD2,KIT,ABCB1,DPYSL2,SAV1,SPTBN1,EZH1,CAV1,TLN2,ADD3,NR3C1,JUN,TNS4,PDLIM4,EFHA2,EHBP1
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	6.6e-08	7.1e-06	11	3	170	151	0		TOP2A,UBE2C,PRC1,ASF1B,SMC4,NUSAP1,CCNB2,WHSC1,CDKN3,UBE2T,ECT2,ARHGAP19,KIAA0101,ZWINT,CKAP2,DTL,DCTPP1,MTHFD2
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	7e-08	7.1e-06	35	20	170	151	2		CCNB2,PRC1,TOP2A,DTL,NUSAP1,ASF1B,SMC4,KIAA0101,WHSC1,CKAP2,ECT2,UBE2T,UBE2C,ARHGAP19,DCTPP1,CDKN3,ZWINT,MTHFD2,GLTSCR2,SPTBN1,DPYSL2,MME,METTL7A,SPRY2
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	7.4e-08	7.1e-06	15	14	170	151	2	CCNB2	TOP2A,SMC4,DTL,WHSC1,DCTPP1,PRC1,ECT2,NUSAP1,ASF1B,KIAA0101,UBE2C,CKAP2,UBE2T,CDKN3,ZWINT,ARHGAP19,MTHFD2,KIT,EZH1,RABIF,GLTSCR2,SPTBN1,TCF7L2,PAK7,EFHA2,ACTG2,C3orf64
