Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
1	-0.244230	0.596479	-1.237303	0.894704	16	14	170	151	0	1
2	-0.151792	0.560326	0.221144	0.412490	33	25	170	151	2	1
3	-0.320439	0.625694	-1.031612	0.849963	24	22	170	151	0	1
4	-0.154888	0.561547	2.977472	0.001453	11	9	170	151	1	1
5	-0.325369	0.627561	-0.078637	0.531340	20	15	170	151	0	1
6	-0.185683	0.573656	-1.230706	0.893403	14	10	170	151	0	1
7	-0.196759	0.577995	-1.663240	0.964981	11	6	170	151	0	1
8	-0.236335	0.593419	-1.583156	0.953280	18	13	170	151	0	1
9	0.820432	0.205985	0.272509	0.392615	36	33	170	151	4	1
10	-0.027296	0.510888	-0.782528	0.783354	12	8	170	151	1	1
11	-0.151502	0.560212	-1.192115	0.885619	22	18	170	151	1	1
12	-0.248747	0.598227	1.725561	0.042213	37	31	170	151	0	1
13	-0.318973	0.625138	0.090035	0.464130	36	28	170	151	1	1
14	-0.230269	0.591063	1.973384	0.024226	13	12	170	151	0	1
15	-0.238078	0.594095	-0.880390	0.811194	12	10	170	151	0	1
16	1.818711	0.034478	0.471420	0.318670	10	8	170	151	1	1
17	-0.251303	0.599216	-1.720779	0.973227	22	19	170	151	0	1
18	-0.252391	0.599636	0.356081	0.360890	22	18	170	151	0	1
19	0.005970	0.497618	2.954921	0.001564	20	18	170	151	1	1
20	-0.220804	0.587382	0.345274	0.364944	13	12	170	151	0	1
21	-0.216593	0.585741	-0.730610	0.767719	16	13	170	151	0	1
22	-0.253535	0.600079	-1.302813	0.907193	11	11	170	151	0	1
23	-0.280654	0.610520	-0.934075	0.825548	37	28	170	151	1	1
24	-0.400821	0.655747	-0.030247	0.512065	45	34	170	151	0	1
25	-0.213719	0.584621	0.216857	0.414160	6	6	170	151	0	1
26	-0.204672	0.581089	-1.021732	0.847586	14	13	170	151	0	1
27	-0.276625	0.608973	-0.069373	0.527654	16	12	170	151	0	1
28	1.046384	0.147692	-0.530801	0.702285	16	13	170	151	1	1
29	-0.315902	0.623972	-1.717341	0.972736	35	31	170	151	0	1
30	-0.283044	0.611436	-0.081891	0.532634	23	19	170	151	0	1
31	-0.197565	0.578310	0.492508	0.311180	13	12	170	151	0	1
32	-0.221000	0.587458	0.024086	0.490392	23	20	170	151	0	1
33	-0.195781	0.577612	-1.447441	0.932240	15	13	170	151	0	1
34	-0.252500	0.599678	6.816035	0.000000	18	9	170	151	0	1
35	-0.203810	0.580752	2.992622	0.001383	28	24	170	151	1	1
36	-0.230171	0.591025	6.965259	0.000000	24	21	170	151	1	1
37	-0.261404	0.603116	1.855646	0.031752	14	13	170	151	0	1
38	-0.271712	0.607085	-1.370087	0.919243	17	14	170	151	0	1
39	-0.282508	0.611231	-1.410178	0.926085	22	21	170	151	0	1
40	-0.251628	0.599341	-1.050050	0.854340	19	17	170	151	0	1
41	-0.292416	0.615025	-0.015190	0.506060	14	14	170	151	0	1
42	-0.261170	0.603025	-0.026191	0.510448	19	16	170	151	1	1
43	-0.206858	0.581943	-1.459648	0.934216	12	10	170	151	0	1
44	-0.310152	0.621788	0.208940	0.417248	32	25	170	151	0	1
