GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	InterestingGeneListID	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_KINESINS	2.5e-08	6.8e-06	24	21	170	151	0	GSE10780	KIF2C,KIF20A	CCNB1,NUSAP1,CKAP2,MELK,UBE2C,TTK,ZWILCH,CDKN3,CDCA3,SHCBP1,WHSC1,CENPA,SMC4,PBK,SGOL2,TRIP13,ATAD2,LMNB1,CDCA8,ANLN,CEP55,DUT,INTS7,EXO1,BTAF1,RPL14,PSMD14,HJURP,RPS3A,PSMA7,RMI2,DMD,MTDH,STX6,ALKBH2,EFHA2,GPRASP2,CABP7,CXCL14,CX3CL1,PNMAL1,CSRNP3
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	3.2e-08	6.8e-06	19	12	170	151	2	GSE10780	E2F1	CCNB1,TTK,KIF2C,PBK,NUSAP1,SHCBP1,TRIP13,SMC4,ZWILCH,LMNB1,KIF20A,ATAD2,MELK,CENPA,CKAP2,DUT,CDCA3,CDCA8,UBE2C,WHSC1,CDKN3,SGOL2,CEP55,INTS7,EXO1,BTAF1,PSMD14,ANLN,RPL14,RPS3A,GLTSCR2,PSMA7,TWISTNB,RPL11,MTDH,GTF2I,RMI2,MME,ALKBH2,DHRS13
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	4.3e-08	6.8e-06	10	2	170	151	1	GSE10780	CCNB1	CDKN3,CDCA3,CENPA,CDCA8,EXO1,SHCBP1,MELK,TTK,PBK,NUSAP1,KIF2C,KIF20A,LMNB1,TRIP13,ZWILCH,ATAD2,WHSC1,SGOL2,UBE2C,CEP55,SMC4,DUT,CKAP2,ANLN,INTS7,PSMD14,RPL14,HJURP,BTAF1,CCNB1IP1,RPS3A,RPL11,PSMA7,RMI2,ICMT,AMIGO2,DHRS13
REACTOME_UNWINDING_OF_DNA	5.5e-08	6.8e-06	11	7	170	151	0	GSE10780		CDCA3,KIF2C,PBK,CKAP2,SHCBP1,CDKN3,CCNB1,TRIP13,DUT,KIF20A,UBE2C,MELK,ATAD2,NUSAP1,WHSC1,TTK,INTS7,LMNB1,ZWILCH,CENPA,SMC4,SGOL2,CDCA8,CEP55,BTAF1,RPL14,PSMD14,EXO1,RMI2,ANLN,RPS3A,RPL11,PSMA7,GLTSCR2,TWISTNB,GTF2I,ABCB1,MRPL14,DHRS13,ALKBH2,RCSD1
BIOCARTA_MCM_PATHWAY	5.8e-08	6.8e-06	18	9	170	151	0	GSE10780		CCNB1,MELK,PBK,CDCA3,KIF20A,SHCBP1,TRIP13,KIF2C,UBE2C,CDKN3,ATAD2,WHSC1,CKAP2,LMNB1,DUT,CEP55,TTK,BTAF1,INTS7,CENPA,NUSAP1,SGOL2,ZWILCH,CDCA8,SMC4,EXO1,RPL14,PSMD14,ANLN,RPS3A,RMI2,GLTSCR2,RPL11,TWISTNB,PSMA7,GTF2I,ABCB1,MRPL14,DHRS13,ALKBH2,RCSD1,FOXN3
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	6.3e-08	6.8e-06	31	19	170	151	0	GSE10780		CCNB1,PBK,TRIP13,KIF2C,SHCBP1,ATAD2,DUT,KIF20A,NUSAP1,WHSC1,LMNB1,ZWILCH,TTK,MELK,CENPA,CKAP2,SMC4,INTS7,SGOL2,CDCA3,BTAF1,CDCA8,CDKN3,UBE2C,CEP55,RPL14,PSMD14,EXO1,ANLN,RPS3A,RPL11,TWISTNB,RMI2,GLTSCR2,PSMA7,GTF2I,DHRS13,ALKBH2,ABCB1,RCSD1,TMEM206
REACTOME_MITOTIC_PROMETAPHASE	6.5e-08	6.8e-06	87	80	170	151	1	GSE10780	KIF2C,ZWILCH,CENPA,SGOL2,CDCA8	CCNB1,SMC4,WHSC1,ATAD2,CKAP2,TRIP13,PBK,NUSAP1,KIF20A,TTK,SHCBP1,DUT,MELK,INTS7,CDCA3,CEP55,LMNB1,CDKN3,UBE2C,EXO1,PSMD14,BTAF1,ANLN,HJURP,RPL14,PSMA7,RPS3A,GTF2I,TWISTNB,RPL11,MTDH,GLTSCR2,STX6,ALKBH2,TMEM206,RMI2,PPME1,NAB1,AMIGO2,DHRS13,ICMT,CAPN6,LHFPL2,PTTG3P,RCSD1,ODZ2,CBX7,LSM14B,EFHA2,FOXN3,DBNL
BIOCARTA_G2_PATHWAY	6.6e-08	6.8e-06	24	21	170	151	1	GSE10780	CCNB1	ZWILCH,SMC4,CEP55,WHSC1,MELK,ATAD2,NUSAP1,CKAP2,PBK,SGOL2,SHCBP1,TTK,INTS7,KIF20A,UBE2C,CENPA,KIF2C,TRIP13,LMNB1,CDCA3,CDKN3,CDCA8,EXO1,DUT,ANLN,BTAF1,RPL14,PSMD14,RPS3A,TWISTNB,HJURP,PSMA7,RPL11,CCNB1IP1,MTDH,AMIGO2,ABCB1,ICMT,GTF2I,RMI2,STX6,DHRS13,E2F1,TMEM206,EFHA2,NAB1
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	6.6e-08	6.8e-06	11	3	170	151	0	GSE10780	E2F1	UBE2C,SMC4,CCNB1,EXO1,LMNB1,PBK,SHCBP1,TRIP13,NUSAP1,WHSC1,KIF2C,CDKN3,CDCA3,CDCA8,ANLN,CENPA,CEP55,MELK,KIF20A,TTK,SGOL2,CKAP2,ZWILCH,ATAD2,DUT,PSMD14,INTS7,BTAF1,TWISTNB
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	7e-08	6.8e-06	35	20	170	151	2	GSE10780	CCNB1,E2F1	KIF2C,TRIP13,NUSAP1,ZWILCH,SHCBP1,TTK,PBK,SMC4,ATAD2,LMNB1,WHSC1,DUT,KIF20A,CENPA,MELK,CDCA8,CKAP2,CDCA3,UBE2C,SGOL2,CDKN3,INTS7,CEP55,EXO1,PSMD14,BTAF1,RPL14,ANLN,RPS3A,PSMA7,RPL11,GTF2I,MTDH,TWISTNB,GLTSCR2,HJURP,CCNB1IP1,RMI2,ALKBH2,PPME1,DHRS13,STX6,ICMT,MME,AMIGO2
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	7.4e-08	6.8e-06	15	14	170	151	2	GSE10780	CCNB1	MELK,TRIP13,SMC4,PBK,ATAD2,TTK,WHSC1,ZWILCH,KIF2C,SHCBP1,NUSAP1,CEP55,CDCA3,UBE2C,KIF20A,CKAP2,CENPA,CDCA8,EXO1,CDKN3,SGOL2,LMNB1,INTS7,DUT,ANLN,RPS3A,RPL14,PSMD14,PSMA7,BTAF1,RPL11,HJURP,TWISTNB,CCNB1IP1,GTF2I,RMI2,MTDH,ICMT,DHRS13,GLTSCR2,AMIGO2,EFHA2
REACTOME_DNA_STRAND_ELONGATION	7.6e-08	6.8e-06	30	25	170	151	0	GSE10780		CCNB1,PBK,TRIP13,KIF2C,SHCBP1,ATAD2,WHSC1,KIF20A,SMC4,CENPA,INTS7,ZWILCH,NUSAP1,CKAP2,MELK,DUT,CDCA3,TTK,LMNB1,SGOL2,UBE2C,CDCA8,BTAF1,CDKN3,RPL14,CEP55,PSMD14,EXO1,RPS3A,RPL11,PSMA7,ANLN,GLTSCR2,RMI2,GTF2I,TWISTNB,ALKBH2,DHRS13,MRPL14,ABCB1,MME,RCSD1,TMEM206,MOCS1
